Name,Address,Latitude,Longitude,Type
Sparkle louran,"ش الاقبال، لوران، قسم أول المنتزة،, Alexandria Governorate, Egypt",31.2476645,29.9768364,Clinics
D Clinics,"6W5M+FVV, Ezbet Saad, Sidi Gaber, Alexandria Governorate 5432015, Egypt",31.2087395,29.934681,Clinics
Obagi Medical Center Alexandria,"568 طريق الحرية, San Stefano, El Raml 1, Alexandria Governorate 5451009, Egypt",31.2387478,29.9628442,Clinics
Andalusia Al Shalalat Clinics,"شارع Estanbol - Salah Moustafa, Bab Sharqi WA Wabour Al Meyah, Bab Shar', Alexandria Governorate 5423002, Egypt",31.2018811,29.9103327,Clinics
Organza clinics,"33 Smoha Sq., Ezbet Saad, Sidi Gaber, Alexandria Governorate 5432063, Egypt",31.2149066,29.9449729,Clinics
NOVA CLINICS,"Azhar elsaraya Towers , el bassant tower, Mohammed Fawzi Moaz, st, Sidi Gaber, Alexandria Governorate 21523, Egypt",31.212276,29.9392444,Clinics
Amsterdam Clinics,"Tower B, Terrace Building, B,Smouha،, Street 38, Ezbet Saad, Sidi Gaber, Alexandria Governorate, Egypt",31.2184657,29.9489501,Clinics
عيادات اواسيز - Oasis Clinics,"111 El-Shaheed Galal El-Desouky, Bab Sharqi WA Wabour Al Meyah, Bab Shar', Alexandria Governorate 5422022, Egypt",31.1999828,29.923572,Clinics
"Dr. Wael Khamis, Rhinoplasty Clinic عيادة تجميل الانف","127 شارع الاسكندر الاكبر, Alexandria Governorate, Egypt",31.208296,29.914301,Clinics
Dental Care By Dr.Amr Saad (Smouha Branch),"Saraya Towers Fawzi Mouaz, street, Alexandria Governorate, Egypt",31.2122664,29.9393595,Clinics
عيادات رويال كير المتخصصة,"5WR9+7XQ، شارع الرصافة, Emberouz WA Moharram Beik, Moharam Bek, Alexandria Governorate 5413430, Egypt",31.1907331,29.9199687,Clinics
Sky Clinics,"،برج البركة ..المدخل الاداري، 16 شارع عبد القادر الغرياني، محرم بك، محرم بك،, Alexandria Governorate, Egypt",31.1903615,29.9218572,Clinics
African Centre for Women's healthcare services,"Abd El-Hameed Badawi, Al Mesallah Sharq, Al Attarin, Alexandria Governorate 5373011, Egypt",31.2045826,29.9051164,Clinics
عيادة الرملي للأسنان|| Ramly Dental Clinic,"برج أ فوق فتح الله ماركت, ٦٦ ش مصطفى كامل فلمنج عمارة أبراج فلمنج, Alexandria Governorate, Egypt",31.232463,29.9601066,Clinics
Lushelle Clinic,"424 El-Gaish Rd, San Stefano, El Raml 1, Alexandria Governorate 5452056, Egypt",31.2500385,29.9697623,Clinics
Derma Clinic,"6WGX+M9X, Roushdy, Fleming, Sidi Gaber, Alexandria Governorate 5433141, Egypt",31.2267335,29.9484977,Clinics
Dalia Derma Clinic,"314 Abou Quer, Sidi Gabir, Sidi Gaber, Alexandria Governorate 5433025, Egypt",31.2175908,29.9395522,Clinics
UCAN Clinics,"313 Abou Quer, Street, Sidi Gabir, Sidi Gaber, Alexandria Governorate, Egypt",31.216128,29.938484,Clinics
Elite clinic,"16 مرسى جميل عزيز،، المسلة شرق،, Al Attarin, Alexandria Governorate 5373011, Egypt",31.2049586,29.9055128,Clinics
For You Clinics - عيادات فور يو التخصصية,"قسم سيدى جابر, 7 Al Safa, Ezbet Saad, Sidi Gaber, Alexandria Governorate 5432040, Egypt",31.2098393,29.9412431,Clinics
Ricci Clinics - Fouad street عيادات ريتشي - شارع فؤاد,"66 Horreya road (Fouad Street ٦٦ طريق الحرية (شارع فؤاد, Mahta Al Raml Sq., Alexandria Governorate 21563, Egypt",31.1986764,29.9082892,Clinics
MedArt Clinic,"144 ش بورسعيد – ميدان سانتاريتا – الابراهيمية - الاسكندرية, Alexandria Governorate 21500, Egypt",31.2161613,29.9258455,Clinics
مركز النزهة سكان للأشعة,"58 شارع الرصافة, ،, Moharam Bek, Alexandria Governorate 5413423, Egypt",31.1943609,29.9171418,Clinics
Skin Arts Clinic مركز سكين أرتس,"332 Abou Quer St., Sidi Gaber , Infornt of Main Station, Sidi Gaber, Alexandria Governorate 21523, Egypt",31.2190706,29.9411373,Clinics
Alexia cosmetic clinics,"٦٢ ش Mohammed Darwish El-Deeb, Abu an Nawatir, Sidi Gaber, Alexandria Governorate 21529, Egypt",31.2252883,29.949816,Clinics
WHAM Clinics - Sultan Hussien / عيادات وام فرع السلطان حسين,"بجوار بنك البركة امام جنينة الشلالات بجوار صيدلية السلطان حسين, 69 شارع السلطان حسين, Bab Sharqi WA Wabour Al Meyah, Bab Shar', Alexandria Governorate 5423003, Egypt",31.2020673,29.9112971,Clinics
Darweesh Scan Center,"Estanbol - Salah Moustafa, Al Mesallah Sharq, Al Attarin, Alexandria Governorate 5372054, Egypt",31.2005592,29.9070423,Clinics
Dr Ahmed Hendy Eye Clinic عيادة د احمد هندى للعيون,"أعلى بنك الاسكندرية و مطعم محمد أحمد, 59 saad zaghlol st raml station ٥٩ شارع سعد زغلول, Mahta Al Raml Sq., Alexandria Governorate 21500, Egypt",31.2002792,29.9005354,Clinics
الاستاذ الدكتور / سامح لاشين - استاذ أمراض الكبد والمرارة و الجهاز الهضمي والمناظير,"وابور المياه - شارع جلال الدسوقي -كمباوند البركة (مدخل اداري ٢ بجوار المستشفي الايطالي, وصيدلية احمد ياسر, Alexandria Governorate, Egypt",31.199764,29.9279349,Clinics
Tawazon Clinic,"عمارة مينا فوق صيدلية العربى بجوار الديب مول الدور الثانى, ٤٤٠ El-Horeya Rd, Kom Ad Dakah Sharq, Al Attarin, Alexandria Governorate 21529, Egypt",31.1984489,29.9076819,Clinics
One dental clinic,"56 Mahmoud hassan Fahmy, AR Riyadah, Sidi Gaber, Alexandria Governorate 5433003, Egypt",31.210935,29.9335455,Clinics
Dr.Jaidaa Mekky Clinic,"9 Fawzi Fahmy, Al Mesallah Sharq, Al Attarin, Alexandria Governorate 5372050, Egypt",31.1984078,29.9049402,Clinics
عيادة الفراعنة للتامين الصحي,"8 Al Faraana, Bab Sharqi WA Wabour Al Meyah, Bab Shar', Alexandria Governorate 5423001, Egypt",31.2000196,29.9092153,Clinics
عيادات اندلسية الخارجية,"Estanbol - Salah Moustafa, Bab Sharqi WA Wabour Al Meyah, Bab Shar', Alexandria Governorate 5423002, Egypt",31.2019377,29.9103104,Clinics
DR. Haytham Elkayal clinic. عيادة دكتور هيثم الكيال.,"46 Moharram Bek, Emberouz WA Moharram Beik, Moharam Bek, Alexandria Governorate 5413410, Egypt",31.1918479,29.9106619,Clinics
Hemocure Clinics | Alexandria Branch - عيادات هيموكيور | فرع الإسكندرية,"283 Abou Quer, فلمنج، قسم الرمل، Alexandria Governorate 5451002, Egypt",31.2140396,29.9362247,Clinics
Dr. Magdy Mahmoud Ashmawy,"10 Qena, الإبراهيمية قبلي, Bab Shar', Alexandria Governorate 5423071, Egypt",31.2113625,29.9279396,Clinics
عيادة الدكتور يسري العدوي,"الأزاريطة، 45 شارع السلطان حسين، الأزاريطة, Alexandria Governorate 21514, Egypt",31.2009584,29.9077539,Clinics
المركز الطبى للهيئات القضائية,"17 El-Horeya Rd, Bab Sharqi WA Wabour Al Meyah, Bab Shar', Alexandria Governorate 5371083, Egypt",31.198745,29.9085721,Clinics
مركز المستقبل للطب النفسي وعلاج الإدمان,"60 Ahmed Mohammed Ismail St, Emberouz WA Moharram Beik, Moharam Bek, Alexandria Governorate 5413426, Egypt",31.1957106,29.9154861,Clinics
IVein Clinic - 15780 - Alexandria,"Raml Station, 8 Kolayet Al Teb, St, second floor, Alexandria Governorate 5372063, Egypt",31.2009099,29.9021035,Clinics
Andalusia Al Shalalat Clinics,"شارع Estanbol - Salah Moustafa, Bab Sharqi WA Wabour Al Meyah, Bab Shar', Alexandria Governorate 5423002, Egypt",31.2018811,29.9103327,Clinics
Smart Clinics,"14شارع كلية الطب, Mahta Al Raml Sq., Alexandria Governorate 21563, Egypt",31.2013336,29.9027163,Clinics
Elite Clinic عيادات إيليت,"699 horya street, louran, Alexandria Governorate 21613, Egypt",31.2459377,29.9751413,Clinics
عيادات شامبليون التخصصية,"١٤ Taghour, Al Azaritah WA Ash Shatebi, Bab Shar', Alexandria Governorate 5310002, Egypt",31.203926,29.907738,Clinics
مركز رويال لعلاج الاورام وأمراض الدم,"امام صيدليات رمضان، مكتب بريد المسلة, Mahta Al Raml Sq., Alexandria Governorate, Egypt",31.2001697,29.905617,Clinics
Nouvel Age Aesthetic Clinic Alexandria Camp Shizar Branch - عيادات نوفيلاج للتجميل فرع كامب شيزار,"امام كازينو, 18 El-Gaish Rd, كامب شيزار, Bab Shar', Alexandria Governorate 21525, Egypt",31.2130177,29.9184211,Clinics
مركز النزهة سكان للأشعة,"58 شارع الرصافة, ،, Moharam Bek, Alexandria Governorate 5413423, Egypt",31.1943609,29.9171418,Clinics
Town Clinics - عيادات تاون,"أعلى صيدلية خليل, 23 ميدان سعد زغلول, Mahta Al Raml Sq., Alexandria Governorate 21563, Egypt",31.2016484,29.9007732,Clinics
Ebrahimya Specialized Clinics عيادة الابراهيمية التخصصية,"امام خروب سامي بداخل شركة الاسكندرية لتوزيع الكهرباء, ١ ش عبد المنعم سند من شارع ابو قير - الابراهيمية, Alexandria Governorate, Egypt",31.2069149,29.9276679,Clinics
عيادات الصفاء التخصصية AL SAFAA CLINICS,"٢٦ ش الغرفة التجارية امام مبني الغرفة التجارية, Alexandria Governorate 21519, Egypt",31.2003892,29.8982375,Clinics
Vascuderm Clinic,"2 Mohammed Fawzi Moaz, Ezbet Saad, Sidi Gaber, Alexandria Governorate 5432020, Egypt",31.2097064,29.9354001,Clinics
